InChiKey,SMILES
QKLPUVXBJHRFQZ-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc2cncc(n2)Cl
XOXHILFPRYWFOD-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc2ccc(nn2)Cl
ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(nc(n1)NS(=O)(=O)c2ccc(cc2)N)C
ZZORFUFYDOWNEF-UHFFFAOYSA-N,COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N
PJSFRIWCGOHTNF-UHFFFAOYSA-N,COc1c(ncnc1OC)NS(=O)(=O)c2ccc(cc2)N
SEEPANYCNGTZFQ-UHFFFAOYSA-N,c1cnc(nc1)NS(=O)(=O)c2ccc(cc2)N
BRBKOPJOKNSWSG-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)NC(=N)N
NHUHCSRWZMLRLA-UHFFFAOYSA-N,Cc1c(noc1NS(=O)(=O)c2ccc(cc2)N)C
VLYWMPOKSSWJAL-UHFFFAOYSA-N,COc1ccc(nn1)NS(=O)(=O)c2ccc(cc2)N
QPPBRPIAZZHUNT-UHFFFAOYSA-N,Cc1ccnc(n1)NS(=O)(=O)c2ccc(cc2)N
VACCAVUAMIDAGB-UHFFFAOYSA-N,Cc1nnc(s1)NS(=O)(=O)c2ccc(cc2)N
JLKIGFTWXXRPMT-UHFFFAOYSA-N,Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N
CYFLXLSBHQBMFT-UHFFFAOYSA-N,Cc1c(oc(n1)NS(=O)(=O)c2ccc(cc2)N)C
GECHUMIMRBOMGK-UHFFFAOYSA-N,c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N
FDDDEECHVMSUSB-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)N
JNMRHUJNCSQMMB-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
MQJKPEGWNLWLTK-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N
GPTONYMQFTZPKC-UHFFFAOYSA-N,COc1cnc(nc1)NS(=O)(=O)c2ccc(cc2)N
MYSWGUAQZAJSOK-UHFFFAOYSA-N,OC(=O)C1=CN(C2CC2)C2=C(C=C(F)C(=C2)N2CCNCC2)C1=O
QMLVECGLEOSESV-RYUDHWBXSA-N,CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F
NOCJXYPHIIZEHN-UHFFFAOYSA-N,CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F
SPFYMRJSYKOXGV-UHFFFAOYSA-N,CCN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O
DPSPPJIUMHPXMA-UHFFFAOYSA-N,CC1CCC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2
BPFYOAJNDMUVBL-UHFFFAOYSA-N,CN1CCN(CC1)c2c(cc3c4c2OCN(n4cc(c3=O)C(=O)O)C)F
OGJPXUAPXNRGGI-UHFFFAOYSA-N,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1
KYGZCKSPAKDVKC-UHFFFAOYSA-N,CCn1cc(c(=O)c2c1cc3c(c2)OCO3)C(=O)O
XBHBWNFJWIASRO-UHFFFAOYSA-N,c1cc(ccc1n2cc(c(=O)c3c2cc(c(c3)F)N4CCNCC4)C(=O)O)F
MLYYVTUWGNIJIB-BXKDBHETSA-N,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cn4cnnn4)SC2)C(=O)O
ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)SC1)C(=O)O
GCFBRXLSHGKWDP-WJONJSRFSA-N,O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)[C@H](c3ccc(O)cc3)NC(=O)N4C(=O)C(=O)N(CC)CC4)CSc5nnnn5C)C(=O)O
ZBHXIWJRIFEVQY-IHMPYVIRSA-N,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)c4ccco4)C(=O)O
MQTOSJVFKKJCRP-BICOPXKESA-N,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
MQTOSJVFKKJCRP-OHJWJPDZSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
